FoodCategoryCd,구분,레시피 번호,레시피명,
6,찌개 및 전골류,298,소고기샤브샤브,찌개 및 전골류_298_소고기샤브샤브
27,수조어육류,299,명태포,수조어육류_299_명태포
5,국 및 탕류,301,소고기떡국,국 및 탕류_301_소고기떡국
8,구이류,302,방어구이,구이류_302_방어구이
6,찌개 및 전골류,305,계란채소전골,찌개 및 전골류_305_계란채소전골
5,국 및 탕류,307,감자미역국,국 및 탕류_307_감자미역국
8,구이류,308,복어구이,구이류_308_복어구이
5,국 및 탕류,309,백합미역국,국 및 탕류_309_백합미역국
5,국 및 탕류,310,어묵무국,국 및 탕류_310_어묵무국
6,찌개 및 전골류,311,소고기두부전골,찌개 및 전골류_311_소고기두부전골
8,구이류,312,돼지갈비구이,구이류_312_돼지갈비구이
5,국 및 탕류,313,조개미역국,국 및 탕류_313_조개미역국
8,구이류,314,닭내장구이,구이류_314_닭내장구이
5,국 및 탕류,316,소고기무된장국,국 및 탕류_316_소고기무된장국
8,구이류,317,멧돼지고기고추장구이,구이류_317_멧돼지고기고추장구이
1,밥류,318,김치볶음밥,밥류_318_김치볶음밥
5,국 및 탕류,319,김치무국,국 및 탕류_319_김치무국
6,찌개 및 전골류,320,소고기전골,찌개 및 전골류_320_소고기전골
5,국 및 탕류,324,유부감자된장국,국 및 탕류_324_유부감자된장국
1,밥류,325,해초비빔밥,밥류_325_해초비빔밥
8,구이류,326,삼겹살구이,구이류_326_삼겹살구이
6,찌개 및 전골류,329,소고기버섯전골,찌개 및 전골류_329_소고기버섯전골
5,국 및 탕류,330,콩나물국,국 및 탕류_330_콩나물국
1,밥류,331,오므라이스,밥류_331_오므라이스
5,국 및 탕류,334,두부북어국,국 및 탕류_334_두부북어국
1,밥류,336,콩나물밥,밥류_336_콩나물밥
5,국 및 탕류,338,배추들깨국,국 및 탕류_338_배추들깨국
1,밥류,340,비빔밥,밥류_340_비빔밥
6,찌개 및 전골류,341,낙지전골,찌개 및 전골류_341_낙지전골
5,국 및 탕류,342,고사리된장국,국 및 탕류_342_고사리된장국
5,국 및 탕류,343,열무된장국,국 및 탕류_343_열무된장국
5,국 및 탕류,344,재첩국,국 및 탕류_344_재첩국
8,구이류,345,매콤돼지고기생강구이,구이류_345_매콤돼지고기생강구이
6,찌개 및 전골류,346,소고기국수전골,찌개 및 전골류_346_소고기국수전골
1,밥류,347,한치덮밥,밥류_347_한치덮밥
5,국 및 탕류,349,배추시금치해장국,국 및 탕류_349_배추시금치해장국
6,찌개 및 전골류,350,곱창전골,찌개 및 전골류_350_곱창전골
5,국 및 탕류,351,아욱된장국,국 및 탕류_351_아욱된장국
5,국 및 탕류,353,우거지된장국,국 및 탕류_353_우거지된장국
6,찌개 및 전골류,354,돼지고기감자찌개,찌개 및 전골류_354_돼지고기감자찌개
5,국 및 탕류,356,콩가루냉이국,국 및 탕류_356_콩가루냉이국
8,구이류,357,돼지고기함박스테이크,구이류_357_돼지고기함박스테이크
6,찌개 및 전골류,358,감자찌개,찌개 및 전골류_358_감자찌개
5,국 및 탕류,359,애호박표고버섯된장국,국 및 탕류_359_애호박표고버섯된장국
6,찌개 및 전골류,360,순두부찌개,찌개 및 전골류_360_순두부찌개
6,찌개 및 전골류,363,콩비지찌개,찌개 및 전골류_363_콩비지찌개
6,찌개 및 전골류,366,돼지고기콩비지찌개,찌개 및 전골류_366_돼지고기콩비지찌개
8,구이류,367,소시지구이,구이류_367_소시지구이
8,구이류,368,햄구이,구이류_368_햄구이
8,구이류,370,칠면조구이,구이류_370_칠면조구이
6,찌개 및 전골류,371,무고추장찌개,찌개 및 전골류_371_무고추장찌개
6,찌개 및 전골류,373,두부찌개,찌개 및 전골류_373_두부찌개
6,찌개 및 전골류,376,두부고추장찌개,찌개 및 전골류_376_두부고추장찌개
5,국 및 탕류,377,콩가루쑥국,국 및 탕류_377_콩가루쑥국
5,국 및 탕류,380,양배추된장국,국 및 탕류_380_양배추된장국
6,찌개 및 전골류,381,두부김치찌개,찌개 및 전골류_381_두부김치찌개
5,국 및 탕류,382,시금치된장국,국 및 탕류_382_시금치된장국
5,국 및 탕류,385,순두부된장국,국 및 탕류_385_순두부된장국
6,찌개 및 전골류,386,늙은호박달래된장찌개,찌개 및 전골류_386_늙은호박달래된장찌개
6,찌개 및 전골류,387,참치김치된장찌개,찌개 및 전골류_387_참치김치된장찌개
6,찌개 및 전골류,388,돼지고기김치된장찌개,찌개 및 전골류_388_돼지고기김치된장찌개
5,국 및 탕류,389,고비된장국,국 및 탕류_389_고비된장국
6,찌개 및 전골류,390,연두부찌개,찌개 및 전골류_390_연두부찌개
5,국 및 탕류,391,두부실파된장국,국 및 탕류_391_두부실파된장국
1,밥류,393,잡채밥,밥류_393_잡채밥
5,국 및 탕류,396,팽이버섯된장국,국 및 탕류_396_팽이버섯된장국
7,찜류,397,가오리채소찜,찜류_397_가오리채소찜
1,밥류,398,참치회덮밥,밥류_398_참치회덮밥
5,국 및 탕류,399,고사리국,국 및 탕류_399_고사리국
5,국 및 탕류,400,배추애호박해장국,국 및 탕류_400_배추애호박해장국
8,구이류,401,소곱창구이,구이류_401_소곱창구이
7,찜류,402,홍어찜,찜류_402_홍어찜
7,찜류,404,조기양념찜,찜류_404_조기양념찜
8,구이류,406,소고기안심구이,구이류_406_소고기안심구이
5,국 및 탕류,407,콩가루배추국,국 및 탕류_407_콩가루배추국
7,찜류,408,우럭채소찜,찜류_408_우럭채소찜
5,국 및 탕류,410,얼갈이된장국,국 및 탕류_410_얼갈이된장국
7,찜류,411,오징어순대,찜류_411_오징어순대
5,국 및 탕류,414,꽃게된장국,국 및 탕류_414_꽃게된장국
7,찜류,417,명란무찜,찜류_417_명란무찜
5,국 및 탕류,418,근대된장국,국 및 탕류_418_근대된장국
7,찜류,420,아귀찜,찜류_420_아귀찜
5,국 및 탕류,421,호박잎된장국,국 및 탕류_421_호박잎된장국
5,국 및 탕류,423,애호박된장국,국 및 탕류_423_애호박된장국
7,찜류,424,숭어채소찜,찜류_424_숭어채소찜
5,국 및 탕류,425,소고기우거지된장국,국 및 탕류_425_소고기우거지된장국
